time,Node_2.Analog_channel_0,Node_2.Analog_channel_1,Node_2.Analog_channel_2,Node_2.Analog_channel_3,Node_2.Analog_channel_4,Node_2.Analog_channel_5,Node_2.Analog_channel_6,Node_2.Analog_channel_7,Node_2.Module_uptime,Node_2.Module_error_code,Node_3.Analog_channel_4,Node_3.Analog_channel_6,Node_3.Analog_channel_10,Node_3.Analog_channel_11,Node_3.Environmental_sensor_temperature,Node_3.Environmental_sensor_humidity,Node_3.Module_uptime,Node_3.Module_error_code,Node_4.Analog_channel_0,Node_4.Analog_channel_1,Node_4.Analog_channel_2,Node_4.Environmental_sensor_temperature,Node_4.Environmental_sensor_humidity,Node_4.Environmental_sensor_CO2,Node_4.Module_uptime,Node_4.Module_error_code
1659726016, 21.268885, 21.306910, 21.250116, 21.675867, 21.559015, 21.299524, 21.414942, 21.296320, 24, 0, 21.958338, 21.749231, 0.000347, 0.068727, 23.138781, 55.814449, 92, 0, 21.507135, 21.552393, 22.134272, 24.797058, 49.189758, 205.289261, 155, 0,
1659726019, 21.268030, 21.306055, 21.245661, 21.660028, 21.557276, 21.299433, 21.414911, 21.295282, 27, 0, 21.957605, 21.748285, 0.000361, 0.069980, 23.125429, 55.735104, 95, 0, 21.508997, 21.553858, 22.134577, 24.810410, 49.098206, 205.750793, 158, 0,
1659726022, 21.268000, 21.305933, 21.242426, 21.647516, 21.557642, 21.299891, 21.415674, 21.295710, 30, 0, 21.958155, 21.747858, 0.000363, 0.070891, 23.112078, 55.712215, 98, 0, 21.509272, 21.554041, 22.135065, 24.783707, 49.082947, 206.110138, 161, 0,
1659726025, 21.267603, 21.305109, 21.240595, 21.636835, 21.557184, 21.300287, 21.416742, 21.295313, 33, 0, 21.959436, 21.748743, 0.000341, 0.071229, 23.154802, 55.750362, 101, 0, 21.510065, 21.554010, 22.134668, 24.810410, 49.061584, 206.216171, 164, 0,
1659726028, 21.266077, 21.303675, 21.239405, 21.628138, 21.556482, 21.299799, 21.417475, 21.294916, 36, 0, 21.959497, 21.748041, 0.000387, 0.072087, 23.138781, 55.736629, 104, 0, 21.508631, 21.551905, 22.134729, 24.783707, 49.032593, 206.267441, 167, 0,
1659726031, 21.262293, 21.299738, 21.234919, 21.618128, 21.553736, 21.297235, 21.416590, 21.292231, 39, 0, 21.959894, 21.747492, 0.000499, 0.072887, 23.154802, 55.695431, 107, 0, 21.506342, 21.549189, 22.133997, 24.826431, 48.986816, 206.232147, 170, 0,
1659726034, 21.259821, 21.298914, 21.230188, 21.610071, 21.553614, 21.296381, 21.417505, 21.291864, 42, 0, 21.961481, 21.748774, 0.000454, 0.072819, 23.154802, 55.675594, 110, 0, 21.503504, 21.545923, 22.132776, 24.826431, 48.986816, 206.071594, 173, 0,
1659726037, 21.258234, 21.296808, 21.226740, 21.601770, 21.552423, 21.293726, 21.417261, 21.289148, 45, 0, 21.963373, 21.749323, 0.000423, 0.072965, 23.138781, 55.649654, 113, 0, 21.501520, 21.542688, 22.132044, 24.826431, 48.986816, 206.076462, 176, 0,
1659726040, 21.258600, 21.296228, 21.225275, 21.594446, 21.553125, 21.292292, 21.417841, 21.287592, 48, 0, 21.964319, 21.749201, 0.000389, 0.073053, 23.154802, 55.652706, 116, 0, 21.499628, 21.540308, 22.131678, 24.810410, 48.904419, 205.797791, 179, 0,
1659726043, 21.256342, 21.293604, 21.220850, 21.585352, 21.550959, 21.288263, 21.416162, 21.285059, 51, 0, 21.966364, 21.750116, 0.000364, 0.072155, 23.125429, 55.681698, 119, 0, 21.495874, 21.537958, 22.131495, 24.783707, 48.951721, 206.330719, 182, 0,
