time,Node_2.Analog_channel_0,Node_2.Analog_channel_1,Node_2.Analog_channel_2,Node_2.Analog_channel_3,Node_2.Analog_channel_4,Node_2.Analog_channel_5,Node_2.Analog_channel_6,Node_2.Analog_channel_7,Node_2.Module_uptime,Node_2.Module_error_code,Node_3.Analog_channel_4,Node_3.Analog_channel_6,Node_3.Analog_channel_10,Node_3.Analog_channel_11,Node_3.Environmental_sensor_temperature,Node_3.Environmental_sensor_humidity,Node_3.Module_uptime,Node_3.Module_error_code,Node_4.Analog_channel_0,Node_4.Analog_channel_1,Node_4.Analog_channel_2,Node_4.Environmental_sensor_temperature,Node_4.Environmental_sensor_humidity,Node_4.Environmental_sensor_CO2,Node_4.Module_uptime,Node_4.Module_error_code
1659727260, 21.207026, 21.264490, 21.243341, 21.373682, 21.493006, 21.256739, 21.367670, 21.262171, 1268, 0, 21.949549, 21.721033, 0.000385, 0.068658, 23.112078, 55.895325, 1336, 0, 21.471888, 21.524897, 22.119684, 24.882507, 49.096680, 230.826874, 1399, 0,
1659727263, 21.209284, 21.266382, 21.245752, 21.374475, 21.494867, 21.258112, 21.369349, 21.264551, 1271, 0, 21.949366, 21.720881, 0.000399, 0.067970, 23.098726, 55.904480, 1339, 0, 21.473169, 21.526148, 22.120050, 24.853134, 49.066162, 229.807159, 1402, 0,
1659727266, 21.211817, 21.268091, 21.249720, 21.375025, 21.495569, 21.260096, 21.369745, 21.266016, 1274, 0, 21.949427, 21.721064, 0.000452, 0.067735, 23.112078, 55.886169, 1342, 0, 21.473719, 21.527155, 22.119867, 24.866486, 49.093628, 225.094360, 1405, 0,
1659727269, 21.213709, 21.270655, 21.254572, 21.377314, 21.498743, 21.261103, 21.370905, 21.267511, 1277, 0, 21.950281, 21.721918, 0.000419, 0.066700, 23.112078, 55.928894, 1345, 0, 21.476007, 21.529444, 22.119623, 24.866486, 49.055481, 224.711609, 1408, 0,
1659727272, 21.214319, 21.271173, 21.257349, 21.379328, 21.500391, 21.262476, 21.370874, 21.267206, 1280, 0, 21.951899, 21.723017, 0.000380, 0.065589, 23.112078, 55.886169, 1348, 0, 21.476252, 21.530146, 22.118860, 24.853134, 48.988342, 220.222839, 1411, 0,
1659727275, 21.213343, 21.270563, 21.258905, 21.378962, 21.499781, 21.263025, 21.369959, 21.266748, 1283, 0, 21.951990, 21.723017, 0.000408, 0.065459, 23.112078, 55.854122, 1351, 0, 21.477320, 21.531977, 22.118586, 24.839783, 49.052429, 218.649902, 1414, 0,
1659727278, 21.213617, 21.270197, 21.260706, 21.379145, 21.498652, 21.263544, 21.369532, 21.267145, 1286, 0, 21.953241, 21.723841, 0.000351, 0.065252, 23.125429, 55.832760, 1354, 0, 21.476618, 21.532068, 22.118219, 24.839783, 49.000549, 216.341476, 1417, 0,
1659727281, 21.212915, 21.269922, 21.262476, 21.379084, 21.497705, 21.263239, 21.369257, 21.268244, 1289, 0, 21.952539, 21.722437, 0.000333, 0.065279, 23.112078, 55.873959, 1357, 0, 21.476252, 21.531488, 22.118067, 24.839783, 49.038696, 213.980164, 1420, 0,
1659727284, 21.213037, 21.271173, 21.265253, 21.379663, 21.498590, 21.264338, 21.369135, 21.268610, 1292, 0, 21.952326, 21.721949, 0.000341, 0.066211, 23.112078, 55.863277, 1360, 0, 21.476984, 21.532862, 22.118708, 24.853134, 49.028015, 212.614761, 1423, 0,
1659727287, 21.213099, 21.271814, 21.265741, 21.380335, 21.498713, 21.264704, 21.369074, 21.267786, 1295, 0, 21.951685, 21.722498, 0.000343, 0.066292, 23.098726, 55.872433, 1363, 0, 21.480280, 21.534235, 22.120234, 24.853134, 48.988342, 210.369446, 1426, 0,
